Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Class Action Data Analyst,$37K-$66K (Glassdoor est.),"Focused on labor and employment law since 1958, Jackson Lewis P.C.’s 950+ attorneys located in major cities nationwide consistently identify and respond to new ways workplace law intersects business. We help employers develop proactive strategies, strong policies and business-oriented solutions to cultivate high-functioning workforces that are engaged, stable and diverse, and share our clients' goals to emphasize inclusivity and respect for the contribution of every employee.
The Firm is ranked in the First Tier nationally in the category of Labor and Employment Litigation, as well as in both Employment Law and Labor Law on behalf of Management, in the U.S. News - Best Lawyers® “Best Law Firms”.
This position is located in Sacramento, CA.
Job Summary (basic description)
Analyze timekeeping, payroll and human resources information systems data to identify potential non-compliance with wage and hour issues. These analyses amount to re-engineering the timekeeping and payroll systems of employers to determine if the employers have complied with the Fair Labor Standards Act, the California Labor Code, and the associated applicable regulations.
Essential Functions
The Class Action Data Analyst designs and builds databases using Microsoft Access to evaluate and analyze data. The data analyst uses structured query language (SQL) and Microsoft Visual Basic for Applications to program procedures and functions to evaluate large volumes of data, and design and create reports identifying potential exposure for wage and hour claims, variations in behaviors among putative class members by organization unit.
• Analyzing payroll data to identify situations where the regular rate has not been calculated in accordance with the Fair Labor Standards Act and the California Labor Code
• Analysis of overtime payments to determine if overtime has been calculated in accordance with the California Industrial Welfare Commission Wage Orders
• Analysis and comparison of timekeeping data and payroll data to determine differences between time worked and time paid
• Analysis of time keeping data to identify if meal periods have been provided in accordance with the California Labor Code and the California Industrial Welfare Commission Wage Orders
• Analysis of employer human resources information systems data to identify potential putative class members and their respective terms of employment.
Qualifications/Skills Required
• MS Excel, Access, VBA
• Ability to write programs/macros to automate repetitive statistical and data tasks required.
• Critical thinking and problem solving skills required.
• Strong organizational and communication skills.
• Ability to determine client and project needs and independently design and prepare data and analyses
• Ability to multi-task and manage multiple projects, from start to finish, with shifting priority levels.
• Bonus for R knowledge or experience.
Educational Requirements
• Bachelor’s degree required, advanced degree preferred
Jackson Lewis understands that embracing our differences makes us a stronger, better firm. We appreciate the importance of having a workforce that reflects the various communities in which we work. We strive to create an inclusive environment where diverse employees want to work and where they can flourish professionally. In furtherance of our culture, all qualified applicants will receive consideration for employment without regard to race, national origin, gender, age, religion, disability, sexual orientation, veteran status, marital status or any other characteristics protected by law.",3.0,"Jackson Lewis LLP
3.0","Sacramento, CA",-1,1001 to 5000 Employees,1957,Company - Private,Legal,Accounting & Legal,$50 to $100 million (USD),-1
Data Analyst,$37K-$66K (Glassdoor est.),"At TrialCard, our passion is success - success for clients, success for us. You’ll notice who comes first. We’re committed to providing solutions, through innovation and unparalleled customer support, to the pharmaceutical industry to improve access and affordability of their medicines to patients. We work tirelessly on the behalf of our clients, because when they succeed, so do we.
The Data Analyst will support internal stakeholders through the aggregation of data for reporting and analytical purposes. The candidate must have the ability to manipulate and normalize data in a way that helps support accurate reporting and foster operational standardization. The Data Analyst will also work cross-functionally to gather and translate requirements across business units creating synergies and developing efficiencies.
The candidate must be an excellent communicator (both orally and written) and be able to effectively foster interactive collaboration and discussions among clients and internal TrialCard teams. The Data Analyst must be able to present analyses and conclusions in a logical and clear manner and must be able to effectively work as part of a team.

Assists program managers with ad-hoc and standardized reports through data manipulation and raw data extracts.
Works directly with business users and decision-makers to gather and document requirements and define scope to ensure accurate development of reporting solutions.
Works primarily within SQL, Excel, and MicroStrategy platforms for data manipulation.
Performs continuous audits to ensure standard, consistent, and quality master data in catering systems is valid and correct.
Supports and maintains current Quality Assurance Program to ensure continued effectiveness within the department.
Identifies additional data, reporting and analytic opportunities to support our pharmaceutical clients and scope work necessary to fulfill them.
Maintains master data lists through additions and revisions when identified by the business users.
Performs and documents procedures for data preparation including data cleaning, standardization and analysis.
Develops and maintains operational dashboards for key decision-makers.
Standardizes and cleanses raw data using predefined rules as well as establishing new rules as needed.
Translates business requirements into reporting requirements/mock-ups for BI and MicroStrategy teams.

Bachelor’s degree in Math, Statistics, Economics, Finance, Computer Science, Engineering or similar discipline.
Must have 2+ years of related data-management, analytics, or business intelligence experience.
Solid technical writing skills; ability to clearly and completely articulate work to be done and describe tasks using proper terminology.
Experience interpreting data and presenting meaningful, client-ready business insights.
Demonstrated application of analytical skills.
Mid-level proficiency in SQL programming and common query optimization techniques for data extraction.
Advanced Excel and/or Access skills. (e.g., VLOOKUP, SUMIF, Macros)
Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience designing and implementing enterprise business intelligence solutions using Microstrategy, Microsoft SSRS or similar highly desirable.
Knowledge of the pharmaceutical industry highly desirable.
Knowledge of direct marketing highly desirable.
Experience in the healthcare industry is highly desirable.",3.2,"TrialCard, Inc.
3.2","Morrisville, NC",-1,1001 to 5000 Employees,2001,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
Tactical Data Link (TDL) Analyst,$37K-$66K (Glassdoor est.),"Overview:

Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills):

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

OTHER QUALIFICATIONS/SKILLS:

• At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
• At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
• At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:

• Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
• Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
• Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
• Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
• Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
• Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
• Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
• Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",3.8,"Oasis Systems LLC
3.8","Hampton, VA",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Data Governance Analyst,$37K-$66K (Glassdoor est.),"The Data Governance team of Decision Sciences and Transformation (DSaT) department is seeking a highly motivated Data Governance Analyst to start a career at GEICO.

Building our Data Governance platform, you will be at the intersection of data, systems, and people. You will work closely with IT and business stakeholders to onboard critical data assets and establish relevant processes with the ultimate goal of making it easier for teams across GEICO to find, understand, trust, and access the data they need. You will leverage your skills and knowledge to help establish our data governance practices and enhance data-driven business performance and compliance. You will support data stewards through education and facilitation of data issue resolution. You will participate in the entire software development lifecycle (SDLC) by writing requirements and user test plans as well as problem solving during development and deployment.

Requirements Qualifications:

1-3 years of experience in Data Governance, Metadata Management, Business Intelligence, or Data Analysis
1-3 years of experience capturing and documenting complex business and functional requirements
Exposure to Data Governance or Data Management tools (such as Collibra, IBM IIS, Informatica, etc.)
Experience working within an Agile (Scrum, Kanban) methodology
Ability to interact with internal customers at all levels to resolve issues and provide solutions
Ability to identify problems/opportunities, analyze root cause, and present recommendations
Excellent verbal and written communications skills as well as communicating technical issues to non-technical audiences
Bachelor's Degree in Information Technology, MIS, Computer Science, or other Technology field preferred

Preferred Qualifications:

Experience with data lineage, data cataloging, and/or data policy implementation
Experience with data analysis/BI tools such as Qlik, MicroStrategy, or Tableau
Knowledge and understanding of data governance challenges and best practices for metadata, data quality, and data stewardship
Working knowledge of Big Data, Data Lakes, and the Hadoop ecosystem
Experience with data profiling or defining data quality rules
Experience writing/editing internal communications or training-related materials in a corporate environment

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Indianapolis, IN office.

Qualifications

About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",3.3,"Government Employees Insurance Company
3.3","Indianapolis, IN",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Finance Data Analytics Analyst,$37K-$66K (Glassdoor est.),"Your Opportunity:

Smithfield Foods is a $15 billion global food company and the world's largest pork processor and hog producer. In the United States, the company is also the leader in numerous packaged meats categories with popular brands including Smithfield, Eckrich ®, Nathan's Famous ®, Farmland ®, Armour ®, Farmer John ®, Kretschmar ®, John Morrell ®, Cook's ®, Gwaltney ®, Carando ®, Margherita ®, Curly's ®, Healthy Ones ®, Morliny ®, Krakus ® and Berlinki ®. Smithfield Foods is committed to providing good food in a responsible way and maintains robust animal care, community involvement, employee safety, environmental and food safety and quality programs.

The Data Analyst will support the Data Analytics department by developing new reports & tools, reviewing and publishing management Reports, and performing ad-hoc analysis. In addition, this position will perform various data loads required for reporting.

Core Responsibilities:
Creates, supports and implements strategies to establish and improve safety compliance.
Ensures reporting systems are in balance with ledgers.
Maintains integrity of all financial data and reporting.
Runs daily/weekly/monthly Management Reports.
Reviews and analyzes reports prior to publishing.
Performs SKU level allocations for Actuals, Budgets and Forecasts.
Creates/Updates BPC reports developed with the Analysis for Office add-in for Excel.
Retrieves Data from multiple sources including SAP/BI/BPC/Access/SQL.
Works to standardize processes to improve accuracy and efficiency of reporting.
Provides ad hoc analysis and special projects as required.
Assists in training new or additional analysts in respective information systems.

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. May perform other duties as assigned.

Qualifications:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals to perform the essential functions.

Bachelor’s Degree from a regionally accredited four-year college or university and 2+ years of relevant experience, required.
Knowledge of accounting/finance systems and financial and business principles.
Experience in manufacturing and/or consumer packaged goods, preferred.
Experience with SAP, BI, BPC, Analysis for Office.
Experience with VBA, preferred.
Demonstrates strong business aptitude, along with problem solving and analytical skills.
Ability to make timely decisions and organize multiple tasks accurately in a deadline sensitive environment.
High standards of accuracy.
High proficiency with Microsoft Excel, Word, PowerPoint and Business Warehouse (BW) experience, preferred.
Strong analytical, problem-solving and decision-making skills.
Ability to think creatively.
Excellent verbal and written communication skills.
Strong self-motivation and organizational skills.
Ability to work well with others in fast paced, dynamic environment.
Ability to be respectful, approachable and team oriented while building strong working relationships and a positive work environment
EEO/AA Information:

Smithfield, is an equal opportunity employer committed to workplace diversity. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, gender identity, protected veterans status or status as a disabled individual or any other protected group status or non-job related characteristic as directed by law.

Careers and Benefits:

To learn more about Smithfield’s benefits, visit smithfieldfoods.com/careerbenefits",3.3,"Smithfield Foods, Inc.
3.3","Smithfield, VA",-1,10000+ Employees,1936,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
Senior Data Analyst,$37K-$66K (Glassdoor est.),"Do you want to innovate customer experiences and make business decisions smarter through data? Are you ready to join a collaborative and motivated team diving into cutting edge big data technology? As an Senior Data Analyst on the Single View of the Customer (SVOC) team, you’ll thrive in a fast-paced innovative culture that turns data into information, and uses that information to drive action. You will have the opportunity to interact with all our SVOC scrum teams, ensuring that we are incorporating new technologies seamlessly, all while providing value to our customers. This opportunity also allows you to dive in to complex technologies, and work with a very forward-thinking group of peers!

Familiar, but never leveraged big data technologies? No worries! When you first join our SVOC team, you will have the opportunity to come up to speed on the cutting-edge technologies we use to develop SVOC!

Basic Qualifications:

o Significant experience in facilitating the discovery process with functional stakeholders to identify requirements and expected outcomes.
o Experience in developing test plans and scenarios to ensure the highest quality deliverables
o Strong SQL, data mapping, and data profiling skills
o Working knowledge of Big Data and the Hadoop Ecosystem
o Outstanding time management skills and attention to detail
o Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
o Strong presentation skills. Should be comfortable with presenting to all levels of management
o A Bachelor's degree in Information Technology, related field (business, finance, mathematics, computer science), or equivalent professional experience is required

Preferred Qualifications:

o Understanding and experience with Web Services and APIs
o Experience in querying NoSQL databases
o Knowledge and experience working in an Agile environment
o Exposure to QLIK or other data visualization tools
o Experience with providing Production Support

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications

About GEICO:

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",3.3,"Government Employees Insurance Company
3.3","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Cancer Registrar (Certified Oncology Data Analyst),$37K-$66K (Glassdoor est.),"The Cancer Registrar is responsible for maintaining cancer databases through case finding, abstracting, recording cancer data, and collecting and documenting follow-up information.

Job Responsibilities:
The Cancer Registrar responsibilities include accessioning and reporting cancer data as mandated by the Commission on Cancer, American College of Surgeons (ACOS) program standards, SEER (Surveillance, Epidemiology and End Results) guidelines and by West Virginia State Law (through West Virginia Cancer Registry). As a Cancer Registrar, he/she must be present to document the discussions that occur, complete required cancer conference grid per ACOS standards, and submit documentation for physicians to receive CME credit. Registrars must be diligent in abstracting timeliness and follow up processes as required by the ACOS COC standards. The Registrar must demonstrate a high degree of expertise in ICD-10-CM to perform conversion to ICD-0-3. The Registrar is also responsible for applying ICD-10-CM codes for reimbursement purposes to clinical trial accounts in Affinity. The Registrar performs qualitative audits and provides annual reports for Cancer Committee.

Please note: Candidates must have earned and maintained credentials as a Certified Tumor Registrar (CTR).

Job Requirements

Certification/Registration:

Associate's degree/Junior College or Technical school degree required.
Bachelor's degree preferred
Must be registered as a Certified Tumor Registrar (CTR)
Must be registered as either a Registered Health Information Technician (RHIT) or Registered Health Information Administrator (RHIA)
Minimum one year of position related experience required",3.8,"Cabell Huntington Hospital
3.8","Huntington, WV",-1,1001 to 5000 Employees,1955,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
Business Intelligence Analyst I- Data Insights,$37K-$66K (Glassdoor est.),"Business Intelligence Analyst I- Data Insights - (19002519)
Description

Position Summary

Individuals within the Business Intelligence (BI) Analyst I role provide business intelligence, reporting, and data analysis needs for Customer Service and Delivery. They work closely with BI Consultants, end users, and IT teams to turn data into critical information and knowledge that can be used to make sound business decisions. It is essential that BI Analysts build an understanding of the CSD organization at a level of detail that enables them to identify and address critical issues. They provide data that is accurate, congruent and reliable, and ensure the information is easily available to users for direct consumption or integration with other systems. BI Analysts educate and train business partners and clients to use the data as an analytical tool, displaying the information in new forms and content for analysis and option exploration.

BI Analysts work with users to determine business requirements, priorities, define key performance indicators (KPI), and develop BI and data warehouse (DW) strategy. They conduct analyses of functional business processes and functional business requirements and participate in the development of business cases in the support of process changes. This includes working with business and development teams to design, and document dashboards, alerts, and reports. This individual is accountable for providing leadership and independent initiatives in facilitating information gathering, structured documentation and presentation of findings to all levels of management.

BI Analysts understand how data is turned into information and knowledge and how that knowledge supports and enables key business processes. They must have understanding of the business environment and an interest in going beyond the obvious, delving into the source, the definition, philosophy, and foundational roots of a data element to create information. They must work well within a team environment.

Candidate Responsibilities
Provides design support for the development of business intelligence solutions.
Works on small to mid-sized and cross-functional IT and business intelligence solutions.
Works on multiple tasks/projects as team member.
Participates in workstream planning process including inception, technical design, development, testing and delivery of BI solutions.
May participate in project management estimation process.
Works with internal and external customers and IT partners to develop and analyze business intelligence needs.
Provides input to business requirements for the design of solutions.
Interprets business requirements and determines optimum BI solutions to meet needs.
Identifies and provides input to new technology opportunities that will have an impact on the Enterprise wide BI systems.
Designs Institute-wide “views” and custom reports.
May perform analysis for a wide range of requests using data in different formats and from various platforms.
Researches business problems and creates models that help analyze these business problems.
Provides input to the development of information quality metrics.
Researches tools, frameworks and mechanisms for data analytics.
Adheres to current standards.
Provides input to standards, policies and procedures for the form, structure, and attributes of the BI tools and systems.
Designs and delivers end-user training and training materials.
Trains users to transform data into action-oriented information and to use correctly.

Functional Skills
General knowledge of supported business functions, systems, and transactions
Familiar with technology system processes, reporting functions, and methodologies
Works effectively with associates from across the CGM Profit Center and with business and IT partners

Qualifications

Position Qualifications
Bachelor's degree in Computer Science, Information Systems, Business Management or specialized training/certification. Or equivalent work experience.
Typically requires a minimum of 2+ years of Business Analysis or related technical experience.
Working experience with Data Visualization, Business Intelligence tools (BO), SQL, multiple DBMS and database development
Experience with ETL and data transformation tool, and BI tools (Tableau, QlikView, etc)
Moderate to high development and usage of Hadoop, Hive, Microsoft SQL, Microsoft Access and Excel
Understanding of relational database concepts and data warehousing concept are required
Proven ability to create reports from existing databases and non-relational data sources

Travel
Minimal travel - < 10%

#GuardianBA

About Guardian
Guardian has been helping people protect their futures and secure their lives for more than 150 years. Every day, we serve approximately 27 million people through a range of insurance and financial products. As one of the largest mutual insurance companies, we know what matters most: putting the needs of our customers first. Because everyone deserves a Guardian. Learn more about Guardian at guardianlife.com

Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law.

© Copyright 2019 The Guardian Life Insurance Company of America, New York, NY.

Primary Location: United States-Wisconsin-Appleton
Other Locations: United States-Pennsylvania-Bethlehem
Job: Finance
Schedule: Full-time
Shift: Day Job
Job Type: Standard
Travel: Yes, 10 % of the Time
Job Posting: May 22, 2020, 12:04:38 PM",3.5,"The Guardian Life Insurance Company of America
3.5","Appleton, WI",-1,5001 to 10000 Employees,1860,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1
Scientific Data Analyst,$37K-$66K (Glassdoor est.),"Scientific Data Analyst

Melbourne, FL

Ability to obtain and maintain a security clearance

National Security

Job Description

ENSCO, Inc., is seeking a Scientific Data Analyst to work closely with a team of scientists and analysts. The work is mission critical, involves solving real-world problems, and encompasses the following technical areas. Develop scientific software/algorithms using advanced mathematics and digital signal processing techniques. Identify and apply appropriate machine learning techniques to evaluate large disparate data sets. Apply digital signal processing techniques in the frequency and time domains to evaluate recorded signals from a distributed sensor network. (e.g. array processing, noise rejection, tracking) to extract and identify signals or features of interest.

The Scientific Data Analyst will work in ENSCO's National Security Solutions (NSS) Division, which provides innovative customized products and services vital to national safety and security. A primary focus area is the development of software systems for multipurpose data collections, processing, and analysis.

Qualifications Required (Skills)

BS in Mathematics, Electrical Engineering, Computer Science, Physics, Acoustics, Geophysics, or related field.

3+ years of related work experience.

Demonstrated proficiency developing algorithms using advanced applied mathematics on large data sets.

Demonstrated expertise with digital signal processing techniques and statistical analysis.

Ability to assimilate large complex scientific data sets from disparate sources and analyze results.

Ability to perform uncertainty and sensitivity analysis on complex models evaluated over multi-dimensional input parameter spaces.

Technical skills to understand and analyze problems, define potential solutions, and conduct in-depth technical analysis.

Demonstrated experience preparing technical reports and preparing and presenting technical briefings.

Demonstrated experience in making technical assessments and communicating results of technical studies to non-scientists.

Demonstrated proficiency with scientific analysis software such as Matlab and Python.

Demonstrated experience with use of a scripting computer language.

Ability to work in a team environment and as a self-starter

Excellent oral and written communication skills

Demonstrated experience with Microsoft Office.

Working knowledge of Windows and Unix/Linux operating systems.

MUST HAVE THE ABILITY TO OBTAIN AND MAINTAIN A TS/SCI SECURITY CLEARANCE, FOR WHICH YOU MUST BE A U.S. CITIZEN. YOU WILL NOT BE CONSIDERED FOR THIS POSITION IF YOU DO NOT MEET THIS REQUIREMENT.

Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information

Qualifications Desired

MS in Mathematics, Electrical Engineering, Computer Science, or related field.

Working knowledge of a scientific programming language such as Python, R, C, or FORTRAN.

Experience with relational databases.

Observational experience processing and interpreting time series and frequency domain dataset, including ability to distinguish signals from noise.

Working knowledge of wave propagation and signal interpretation in solid/fluid media.

#LI-KM1

Req ID

1866BR

Internal Position Title

Scientist III

Employment Status

Regular Full-time

General Education/Years of Experience

BS or equiv; min 3 yrs relevant exp

U.S. Citizenship

Yes

Background Check Type

7 year

Drug Screen Type

None

Export Control and Licensing

None

Contract Award Contingency

No

Recruiter

Kierra McDonald

Division Description

The National Security Solutions (NSS) Division provides security solutions for the United States government. NSS employees offer a multi-disciplinary approach to solve some of the most challenging technical problems in complex operational environments. Our areas of expertise are in sensor development and integration; chemical, biological and geophysical phenomenology; software applications and modeling; and operational applications of technology.

Key customers include the Department of Homeland Security, the Department of Defense, and the Intelligence Community.

Strength in Diversity

ENSCO, Inc. and its wholly owned U.S. subsidiaries are equal opportunity/affirmative action employers, committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability, or protected veteran status, or any other protected characteristic under state or local law.",3.2,"ENSCO, Inc.
3.2","Melbourne, FL",-1,501 to 1000 Employees,1969,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
Senior Data Analyst,$37K-$66K (Glassdoor est.),"Overview:

The Sr. Data Analyst for Driven Brands will report to the Director of Advanced Analytics and will be responsible for analytic and data automation projects by providing expertise in problem solving, solution implementation, and ongoing optimization to the Marketing organization.

Responsibilities:

· Collect, clean, transform, and restructure data for use in reporting, analysis, and statistical modeling

· Manipulate disparate data from a variety of sources using programming language to create complex queries

· Collaborate with internal and external stakeholders to manage data logistics, including data transfers, understanding data structures, and business rules

· Analyze and summarize large amounts of disparate data in order to identify trends and conduct root cause analysis

· Create analytic solutions by exploring innovative data techniques, conducting exploratory data analysis, and create descriptive and predictive models to support a variety of business scenarios

· Work with a team of analysts and data scientists to provide ad hoc support on complex subjects and analytic projects

· Communicate analyses and insights to the business in a clear, succinct manner that focuses on measurable business impact

Qualifications:

· Bachelor’s Degree in Computer Science, Statistics, Advanced Analytics, Mathematics or relevant field

· Preferred 1-2 years of relevant work experience

· Familiarity with various data modeling techniques (linear/logistic regression, ANOVA, ARIMA, Clustering, time series, machine learning)

· Strong command of advanced data analysis tools and software (R, Python, SAS, etc.), and querying languages (SQL)

· Advanced skills to work with large, complex, and disparate data (accessing, connecting, and analyzing)from a relational database environment

· Articulate with excellent verbal and written communication skills

· Highest standards of accuracy and precision; highly organized

· Strong self-starter with a resilient, solution minded approach to complex problems

· Ability to handle multiple priorities against multiple deadlines

· Able to work well with people across multiple functions

IND1",1.6,"Driven Brands, Inc.
1.6","Charlotte, NC",-1,1001 to 5000 Employees,2006,Company - Private,Automotive Parts & Accessories Stores,Retail,$2 to $5 billion (USD),-1
