Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age,python,r,spark,aws,excel,sql
Data Analyst,$41K-$70K (Glassdoor est.),"Data Analyst – Laramie, WY

Trihydro, one of the top environmental and engineering consulting firms in the country, has an opening for a Data Analyst. The Data Analyst will join our Air and Process Services team and assist with collecting and analyzing data and extending company’s data with third party sources. If you have a knack for data, we encourage you to apply!


Now more than the ever, the world needs smart, cutting-edge solutions to address the engineering and environmental challenges of tomorrow. That’s where we come in. As a member of our team, you will support our diverse range of clients, from Fortune 100 companies to local communities nationwide to continuously improve human health and the environment.


Responsibilities
In your role as a Data Analyst, you will join the LDAR QA/QC support team, working with the team to use different software applications, read and understand regulations. Experience with working in SQL would be a plus.


Location
The preferred candidate will be based in our office in Laramie, WY. Our office is situated in a great community that provides ready access to multiple recreational opportunities, opportunities associated with a University, and Mountain West Living. Laramie is home to Trihydro’s Corporate Headquarters and situated in a community that offers almost limitless activities.


We encourage you to apply if:


You are in the beginning stage of your career, looking for valuable experience, and excited to build a strong technical foundation in data management systems, quantitative analyses and reporting. You have relevant experience and/or interest including data management in any platform, data collection, data reporting, technical reading, environmental processes, monitoring compliance requirements with EPA and/or State level regulations.
You are a strong communicator, both orally and written, with the ability to communicate effectively with team members and clients.
You have experience with Structured Query Language (SQL) (not required, but this experience will allow you to hit the ground running).
You have a determination and willingness to learn and develop programming skills in SQL.
You possess strong technical and creative problem-solving skills, including attention to detail, accuracy and completeness, and a commitment to producing high-quality deliverables.
You understand the importance of time management and possess excellent organization skills.
You are an innovative thinker and can grow with the evolving industry.
You have a passion for technology.
You are knowledgeable in working with data.
You have an interest in improving business processes.
This job is for you if:


You desire career-growth opportunities and are interested in playing an integral role in a growing team and company.
You want to be part of a dynamic company that treats team members like family.
You value working with others to achieve goals that make a difference to our clients and our communities.
You assume ownership of your work and take pride in producing high-quality deliverables.
Benefits
At Trihydro, our approach to work is honest and hard-working. You’ll find a company culture that is dedicated to excellence, nurtures collaboration and growth, and still finds plenty of time for fun! Some of the benefits of joining our team includes:
A robust health insurance program (medical, dental, vision, and prescription).
An industry-leading 401(k) retirement plan, including a 6% discretionary match by Trihydro.
Comprehensive paid time off including vacation, flex, sick, and holiday pay.
A wellness program, including reimbursement for gym membership or related expenses.
Staff mentoring and opportunities for professional/career advancement.
A best-in-class safety culture built to protect our employees – the mothers, fathers, sons, and daughters who deserve to go home safely each night.",4.4,"Trihydro Corporation
4.4","Laramie, WY",501 to 1000 Employees,1984,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),41,70,55.5,"Trihydro Corporation
",WY,36,0,0,0,0,1,1
Data Analyst,$41K-$70K (Glassdoor est.),"At TrialCard, our passion is success - success for clients, success for us. You’ll notice who comes first. We’re committed to providing solutions, through innovation and unparalleled customer support, to the pharmaceutical industry to improve access and affordability of their medicines to patients. We work tirelessly on the behalf of our clients, because when they succeed, so do we.
The Data Analyst will support internal stakeholders through the aggregation of data for reporting and analytical purposes. The candidate must have the ability to manipulate and normalize data in a way that helps support accurate reporting and foster operational standardization. The Data Analyst will also work cross-functionally to gather and translate requirements across business units creating synergies and developing efficiencies.
The candidate must be an excellent communicator (both orally and written) and be able to effectively foster interactive collaboration and discussions among clients and internal TrialCard teams. The Data Analyst must be able to present analyses and conclusions in a logical and clear manner and must be able to effectively work as part of a team.

Assists program managers with ad-hoc and standardized reports through data manipulation and raw data extracts.
Works directly with business users and decision-makers to gather and document requirements and define scope to ensure accurate development of reporting solutions.
Works primarily within SQL, Excel, and MicroStrategy platforms for data manipulation.
Performs continuous audits to ensure standard, consistent, and quality master data in catering systems is valid and correct.
Supports and maintains current Quality Assurance Program to ensure continued effectiveness within the department.
Identifies additional data, reporting and analytic opportunities to support our pharmaceutical clients and scope work necessary to fulfill them.
Maintains master data lists through additions and revisions when identified by the business users.
Performs and documents procedures for data preparation including data cleaning, standardization and analysis.
Develops and maintains operational dashboards for key decision-makers.
Standardizes and cleanses raw data using predefined rules as well as establishing new rules as needed.
Translates business requirements into reporting requirements/mock-ups for BI and MicroStrategy teams.

Bachelor’s degree in Math, Statistics, Economics, Finance, Computer Science, Engineering or similar discipline.
Must have 2+ years of related data-management, analytics, or business intelligence experience.
Solid technical writing skills; ability to clearly and completely articulate work to be done and describe tasks using proper terminology.
Experience interpreting data and presenting meaningful, client-ready business insights.
Demonstrated application of analytical skills.
Mid-level proficiency in SQL programming and common query optimization techniques for data extraction.
Advanced Excel and/or Access skills. (e.g., VLOOKUP, SUMIF, Macros)
Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience designing and implementing enterprise business intelligence solutions using Microstrategy, Microsoft SSRS or similar highly desirable.
Knowledge of the pharmaceutical industry highly desirable.
Knowledge of direct marketing highly desirable.
Experience in the healthcare industry is highly desirable.",3.2,"TrialCard, Inc.
3.2","Morrisville, NC",1001 to 5000 Employees,2001,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),41,70,55.5,"TrialCard, Inc.
",NC,19,0,0,0,0,1,1
Tactical Data Link (TDL) Analyst,$41K-$70K (Glassdoor est.),"Overview:

Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills):

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

OTHER QUALIFICATIONS/SKILLS:

• At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
• At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
• At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:

• Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
• Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
• Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
• Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
• Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
• Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
• Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
• Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",3.8,"Oasis Systems LLC
3.8","Hampton, VA",1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),41,70,55.5,"Oasis Systems LLC
",VA,23,0,0,0,0,1,0
Finance Data Analytics Analyst,$41K-$70K (Glassdoor est.),"Your Opportunity:

Smithfield Foods is a $15 billion global food company and the world's largest pork processor and hog producer. In the United States, the company is also the leader in numerous packaged meats categories with popular brands including Smithfield, Eckrich ®, Nathan's Famous ®, Farmland ®, Armour ®, Farmer John ®, Kretschmar ®, John Morrell ®, Cook's ®, Gwaltney ®, Carando ®, Margherita ®, Curly's ®, Healthy Ones ®, Morliny ®, Krakus ® and Berlinki ®. Smithfield Foods is committed to providing good food in a responsible way and maintains robust animal care, community involvement, employee safety, environmental and food safety and quality programs.

The Data Analyst will support the Data Analytics department by developing new reports & tools, reviewing and publishing management Reports, and performing ad-hoc analysis. In addition, this position will perform various data loads required for reporting.

Core Responsibilities:
Creates, supports and implements strategies to establish and improve safety compliance.
Ensures reporting systems are in balance with ledgers.
Maintains integrity of all financial data and reporting.
Runs daily/weekly/monthly Management Reports.
Reviews and analyzes reports prior to publishing.
Performs SKU level allocations for Actuals, Budgets and Forecasts.
Creates/Updates BPC reports developed with the Analysis for Office add-in for Excel.
Retrieves Data from multiple sources including SAP/BI/BPC/Access/SQL.
Works to standardize processes to improve accuracy and efficiency of reporting.
Provides ad hoc analysis and special projects as required.
Assists in training new or additional analysts in respective information systems.

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. May perform other duties as assigned.

Qualifications:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals to perform the essential functions.

Bachelor’s Degree from a regionally accredited four-year college or university and 2+ years of relevant experience, required.
Knowledge of accounting/finance systems and financial and business principles.
Experience in manufacturing and/or consumer packaged goods, preferred.
Experience with SAP, BI, BPC, Analysis for Office.
Experience with VBA, preferred.
Demonstrates strong business aptitude, along with problem solving and analytical skills.
Ability to make timely decisions and organize multiple tasks accurately in a deadline sensitive environment.
High standards of accuracy.
High proficiency with Microsoft Excel, Word, PowerPoint and Business Warehouse (BW) experience, preferred.
Strong analytical, problem-solving and decision-making skills.
Ability to think creatively.
Excellent verbal and written communication skills.
Strong self-motivation and organizational skills.
Ability to work well with others in fast paced, dynamic environment.
Ability to be respectful, approachable and team oriented while building strong working relationships and a positive work environment
EEO/AA Information:

Smithfield, is an equal opportunity employer committed to workplace diversity. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, gender identity, protected veterans status or status as a disabled individual or any other protected group status or non-job related characteristic as directed by law.

Careers and Benefits:

To learn more about Smithfield’s benefits, visit smithfieldfoods.com/careerbenefits",3.3,"Smithfield Foods, Inc.
3.3","Smithfield, VA",10000+ Employees,1936,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),41,70,55.5,"Smithfield Foods, Inc.
",VA,84,0,0,0,0,1,1
Data Governance Analyst,$41K-$70K (Glassdoor est.),"The Data Governance team of Decision Sciences and Transformation (DSaT) department is seeking a highly motivated Data Governance Analyst to start a career at GEICO.

Building our Data Governance platform, you will be at the intersection of data, systems, and people. You will work closely with IT and business stakeholders to onboard critical data assets and establish relevant processes with the ultimate goal of making it easier for teams across GEICO to find, understand, trust, and access the data they need. You will leverage your skills and knowledge to help establish our data governance practices and enhance data-driven business performance and compliance. You will support data stewards through education and facilitation of data issue resolution. You will participate in the entire software development lifecycle (SDLC) by writing requirements and user test plans as well as problem solving during development and deployment.

Requirements Qualifications:

1-3 years of experience in Data Governance, Metadata Management, Business Intelligence, or Data Analysis
1-3 years of experience capturing and documenting complex business and functional requirements
Exposure to Data Governance or Data Management tools (such as Collibra, IBM IIS, Informatica, etc.)
Experience working within an Agile (Scrum, Kanban) methodology
Ability to interact with internal customers at all levels to resolve issues and provide solutions
Ability to identify problems/opportunities, analyze root cause, and present recommendations
Excellent verbal and written communications skills as well as communicating technical issues to non-technical audiences
Bachelor's Degree in Information Technology, MIS, Computer Science, or other Technology field preferred

Preferred Qualifications:

Experience with data lineage, data cataloging, and/or data policy implementation
Experience with data analysis/BI tools such as Qlik, MicroStrategy, or Tableau
Knowledge and understanding of data governance challenges and best practices for metadata, data quality, and data stewardship
Working knowledge of Big Data, Data Lakes, and the Hadoop ecosystem
Experience with data profiling or defining data quality rules
Experience writing/editing internal communications or training-related materials in a corporate environment

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Indianapolis, IN office.

Qualifications

About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",3.3,"Government Employees Insurance Company
3.3","Indianapolis, IN",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),41,70,55.5,"Government Employees Insurance Company
",IN,84,0,0,0,0,1,0
Cancer Registrar (Certified Oncology Data Analyst),$41K-$70K (Glassdoor est.),"The Cancer Registrar is responsible for maintaining cancer databases through case finding, abstracting, recording cancer data, and collecting and documenting follow-up information.

Job Responsibilities:
The Cancer Registrar responsibilities include accessioning and reporting cancer data as mandated by the Commission on Cancer, American College of Surgeons (ACOS) program standards, SEER (Surveillance, Epidemiology and End Results) guidelines and by West Virginia State Law (through West Virginia Cancer Registry). As a Cancer Registrar, he/she must be present to document the discussions that occur, complete required cancer conference grid per ACOS standards, and submit documentation for physicians to receive CME credit. Registrars must be diligent in abstracting timeliness and follow up processes as required by the ACOS COC standards. The Registrar must demonstrate a high degree of expertise in ICD-10-CM to perform conversion to ICD-0-3. The Registrar is also responsible for applying ICD-10-CM codes for reimbursement purposes to clinical trial accounts in Affinity. The Registrar performs qualitative audits and provides annual reports for Cancer Committee.

Please note: Candidates must have earned and maintained credentials as a Certified Tumor Registrar (CTR).

Job Requirements

Certification/Registration:

Associate's degree/Junior College or Technical school degree required.
Bachelor's degree preferred
Must be registered as a Certified Tumor Registrar (CTR)
Must be registered as either a Registered Health Information Technician (RHIT) or Registered Health Information Administrator (RHIA)
Minimum one year of position related experience required",3.8,"Cabell Huntington Hospital
3.8","Huntington, WV",1001 to 5000 Employees,1955,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),41,70,55.5,"Cabell Huntington Hospital
",WV,65,0,0,0,0,0,0
Senior Data Analyst,$41K-$70K (Glassdoor est.),"Do you want to innovate customer experiences and make business decisions smarter through data? Are you ready to join a collaborative and motivated team diving into cutting edge big data technology? As an Senior Data Analyst on the Single View of the Customer (SVOC) team, you’ll thrive in a fast-paced innovative culture that turns data into information, and uses that information to drive action. You will have the opportunity to interact with all our SVOC scrum teams, ensuring that we are incorporating new technologies seamlessly, all while providing value to our customers. This opportunity also allows you to dive in to complex technologies, and work with a very forward-thinking group of peers!

Familiar, but never leveraged big data technologies? No worries! When you first join our SVOC team, you will have the opportunity to come up to speed on the cutting-edge technologies we use to develop SVOC!

Basic Qualifications:

o Significant experience in facilitating the discovery process with functional stakeholders to identify requirements and expected outcomes.
o Experience in developing test plans and scenarios to ensure the highest quality deliverables
o Strong SQL, data mapping, and data profiling skills
o Working knowledge of Big Data and the Hadoop Ecosystem
o Outstanding time management skills and attention to detail
o Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
o Strong presentation skills. Should be comfortable with presenting to all levels of management
o A Bachelor's degree in Information Technology, related field (business, finance, mathematics, computer science), or equivalent professional experience is required

Preferred Qualifications:

o Understanding and experience with Web Services and APIs
o Experience in querying NoSQL databases
o Knowledge and experience working in an Agile environment
o Exposure to QLIK or other data visualization tools
o Experience with providing Production Support

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications

About GEICO:

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",3.3,"Government Employees Insurance Company
3.3","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),41,70,55.5,"Government Employees Insurance Company
",MD,84,0,0,0,0,1,1
Data Systems Analyst,$41K-$70K (Glassdoor est.),"Ready to make an impact? If so, read on!

Would you like to be a part of the team that brings data innovation, Machine Learning and AI enabling to GEICO? We are looking for a highly motivated Data Systems Analyst to support the Data Science Development lifecycle process and help solve complex business problems using predictive analytics/modeling approaches.

Job Responsibilities:

As a Data Systems Analyst, you will work with Machine Learning Developers, Data Modelers, and the business to:

•Conduct requirement and systems analysis, translating business requirements and performance metrics into modeling requirements and metrics
•Clearly define and document business problems by conferring with clients; evaluating procedures and processes, and assessing existing metrics
•Facilitate solution-design sessions with Machine Learning Developers, Data Scientists and business stakeholders
•Coordinate with the Machine Learning Developers and Data Scientists to document analytics solutions, approaches and results
•Communicate and coordinate effectively with clients and other stakeholders
•Support systems design, testing and deployment of predictive models into production
•Conduct data / metric analysis, assess impact of a new solution on key metrics, and analyze potential value
•Monitor performance of deployed models and develop recommendations on model refresh
•Set up metrics plans, conduct analysis of results, and report findings
•Capture data from Enterprise Data Warehouse (EDW) and Hadoop using SQL
•Create and execute test plans to test model services
•Assist with agile process and project planning

Would you like to join our innovative team? If so, do you meet these qualifications?

Required Qualifications:

• A minimum of three years of progressive analysis/systems experience in large scale IT projects

• Bachelor’s degree in Statistics, Computer Sciences, Information Technology, Engineering, Management of Information Systems, or equivalent work experience

• Ability to support multiple projects simultaneously and work in a dynamic environment

• Experience working in an Agile team and familiarity with Agile project management practices

• Experience documenting business processes, requirements, and application test plans

• Working knowledge of SQL

• Experience conducting metrics analysis and reporting

• Strong critical thinking, decision-making and problem-solving skills

Desired Qualifications:

• Demonstrated experience with SQL scripting language

• Experience with process improvement

• Foundational understanding of Statistics and analysis of A/B tests

• Experience in R or Python programming language

#LI-AM1
#DI-AM

Qualifications
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",3.3,"Government Employees Insurance Company
3.3","Indianapolis, IN",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),41,70,55.5,"Government Employees Insurance Company
",IN,84,1,0,0,0,0,1
Tactical Data Link Analyst,$41K-$70K (Glassdoor est.),"Job Responsibilities

Provide Tactical Data Link (TDL) expertise, as well as logistical and training support to weapon system testing and integration as follows:

Certify international partner defense systems as interoperable with US defense systems
Perform test planning for interoperability testing including standards conformance testing
Collect test data from defense systems using government-furnished network and test tools
Analyze TDL data using government-furnished network and test tools
Prepare briefings/reports on TDL test findings to government customer
Provide implementation and improvement recommendations
Investigate and solve Tactical Communication system performance issues
Design, develop, and deliver leading edge TDL functionality for intelligence dissemination to theater operational forces for tactical execution
Support the performance, verification, and sustainment of fielded TDL systems and components

QUALIFICATIONS:

Required Education & Experience

Bachelor's degree in a technical field with ten (10) years relevant experience, or have a master's degree in a technical field with eight (8) years relevant experience, or an equivalent combination of education and experience.
Experience with building and analyzing Data Link (e.g. Link11, Link16, JREAP,TDL, etc.) architectures
Experience with MIL-STD-1553B interfaces as well as familiarity with common Tactical Datalink radios/terminals, to include MIDS, LVT, MIDS JTRS, BU1 and BU2.
Experience with common TDL equipment to include JRE Gateway and Air Defense System Integrator (ADSI)
Experience presenting design and project information at periodic reviews as well as recommending improvements to existing designs

Required Knowledge & Skills

Working knowledge of Mil-Standards 6018, 6016, 3011, and 6020
Able to read, interpret, create, and maintain spreadsheets, charts, reports, investigation and test plans, and procedures
Ability to communicate clearly (written and verbal) to technical and non-technical personnel
Ability to work both independently and within a team environment
Proficiency in Microsoft Office products (Word, Excel, et al) is required

Desired Qualifications

Experience as a military JICO

Other Requirements

Active DoD Confidential/Secret clearance
Up to 25% travel required",4.2,"Delta Research Inc.
4.2","Huntsville, AL",51 to 200 Employees,-1,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD),41,70,55.5,"Delta Research Inc.
",AL,-1,0,0,0,0,1,0
Healthcare Data Analyst,$41K-$70K (Glassdoor est.),"What we are looking for?
2+ years of data analysis experience with healthcare claims or healthcare data sets
Bachelors or Master’s degree in actuarial science, economics,or finance
Experience writing intermediate to advanced SQL statements of data acquisition + reporting
Proven work experience in Excel writing nested functions, VBA, and Financial Model Development
Ability to relocate to Albany once Covid-19 subsides.
What can we offer you if you possess the above 4 knowledge, skills and abilities?
The opportunity to work with the best consultants in the capital region
A valuable resume block for future career growth
An opportunity to acquire specialized experience in how healthcare delivery is financed
The opportunity to be financially rewarded for hard work and learning on the job
An opportunity to learn ""consulting skills""
The opportunity to work as an independent contractor if desired.
What should you expect?
You will be joining an in-flight consulting project with an established peer group team
You will have to learn quickly and produce results quickly under demanding conditions
Organizationally, we value your ability to learn on the job over your degrees of prior job titles
Our expectation is that you are internally driven and motivated for your own future career and financial success, we will support your intrinsically driven motivations
A multistage interview and evaluation process
Job Type: Contract

Pay: $40.00 - $50.00 per hour

Schedule:
Day shift
Experience:
consulting: 1 year (Preferred)
writing intermediate SQL: 1 year (Required)
advanced excel formulas: 1 year (Required)
healthcare claims data: 1 year (Required)
Location:
Albany, NY 12210 (Required)
Work authorization:
United States (Required)
Contract Length:
More than 1 year
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Company's website:
http://sanghiconsulting.com/
Work Remotely:
Temporarily due to COVID-19",-1.0,"Sanghi Consulting, Inc.","Albany, NY",-1,-1,-1,-1,-1,-1,41,70,55.5,"Sanghi Consulting, Inc.",NY,-1,0,0,0,0,1,1
